from;to;connection;weight
Gernot Mörig;Svenja Mörig;Mörig-Clan;4
Gernot Mörig;Wiebke Mörig;Mörig-Clan;4
Gernot Mörig;Inka Mörig;Mörig-Clan;4
Gernot Mörig;Max Otte;Düsseldofer Runden;2
Gernot Mörig;Tino Chrupalla;5. Düsseldorfer Runde;1
Gernot Mörig;Volker Pispers;"""Pispers Wagenknecht Abendessen";2
Gernot Mörig;Sarah Wagenknecht;Pispers Wagenknecht Abendessen;1
Gernot Mörig;Ulrich Vosgerau;Gasthof Adlon Correctiv;2
Gernot Mörig;Michaela Schneider;Gasthof Adlon Correctiv;2
Gernot Mörig;Simone Baum;Gasthof Adlon Correctiv;2
Gernot Mörig;Mathilda Huss;Gasthof Adlon Correctiv;2
Gernot Mörig;Wilhelm Wilderink;Gasthof Adlon Correctiv;2
Gernot Mörig;Mario Müller;Gasthof Adlon Correctiv;2
Gernot Mörig;Martin Sellner;Gasthof Adlon Correctiv;2
Gernot Mörig;Astrid Mörig;Mörig-Clan;4
Gernot Mörig;Arne Friedrich Mörig;Mörig-Clan;4
Silke Schröder;Henning Pless;Gasthof Adlon Correctiv;2
Silke Schröder;Ulrich Vosgerau;Gasthof Adlon Correctiv;2
Silke Schröder;Michaela Schneider;Gasthof Adlon Correctiv;2
Silke Schröder;Simone Baum;Gasthof Adlon Correctiv;2
Silke Schröder;Mathilda Huss;Gasthof Adlon Correctiv;2
Silke Schröder;Wilhelm Wilderink;Gasthof Adlon Correctiv;2
Silke Schröder;Mario Müller;Gasthof Adlon Correctiv;2
Silke Schröder;Martin Sellner;Gasthof Adlon Correctiv;2
Silke Schröder;Astrid Mörig;Gasthof Adlon Correctiv;2
Silke Schröder;Arne Friedrich Mörig;Gasthof Adlon Correctiv;2
Silke Schröder;Gernot Mörig;Gasthof Adlon Correctiv;2
Silke Schröder;Tim Krause;Gasthof Adlon Correctiv;2
Silke Schröder;Ulrich Siegmund;Gasthof Adlon Correctiv;2
Silke Schröder;Gerrit Huy;Gasthof Adlon Correctiv;2
Silke Schröder;Roland Hartwig;Gasthof Adlon Correctiv;2
Henning Pless;Ulrich Vosgerau;Gasthof Adlon Correctiv;2
Henning Pless;Michaela Schneider;Gasthof Adlon Correctiv;2
Henning Pless;Simone Baum;Gasthof Adlon Correctiv;2
Henning Pless;Mathilda Huss;Gasthof Adlon Correctiv;2
Henning Pless;Wilhelm Wilderink;Gasthof Adlon Correctiv;2
Henning Pless;Mario Müller;Gasthof Adlon Correctiv;2
Henning Pless;Martin Sellner;Gasthof Adlon Correctiv;2
Henning Pless;Astrid Mörig;Gasthof Adlon Correctiv;2
Henning Pless;Arne Friedrich Mörig;Gasthof Adlon Correctiv;2
Henning Pless;Gernot Mörig;Gasthof Adlon Correctiv;2
Henning Pless;Tim Krause;Gasthof Adlon Correctiv;2
Henning Pless;Ulrich Siegmund;Gasthof Adlon Correctiv;2
Henning Pless;Gerrit Huy;Gasthof Adlon Correctiv;2
Henning Pless;Roland Hartwig;Gasthof Adlon Correctiv;2
Gerrit Huy;Tino Chrupalla;AfD Bundestag;3
Gerrit Huy;Wilhelm Wilderink;Gasthof Adlon Correctiv;2
Gerrit Huy;Mario Müller;Gasthof Adlon Correctiv;2
Gerrit Huy;Martin Sellner;Gasthof Adlon Correctiv;2
Gerrit Huy;Mathilda Huss;Gasthof Adlon Correctiv;2
Gerrit Huy;Ulrich Vosgerau;Gasthof Adlon Correctiv;2
Gerrit Huy;Michaela Schneider;Gasthof Adlon Correctiv;2
Gerrit Huy;Simone Baum;Gasthof Adlon Correctiv;2
Gerrit Huy;Arne Friedrich Mörig;Gasthof Adlon Correctiv;2
Gerrit Huy;Gernot Mörig;Gasthof Adlon Correctiv;2
Gerrit Huy;Tim Krause;Gasthof Adlon Correctiv;2
Gerrit Huy;Astrid Mörig;Gasthof Adlon Correctiv;2
Gerrit Huy;Ulrich Siegmund;Gasthof Adlon Correctiv;2
Ulrich Siegmund;Ulrich Vosgerau;Gasthof Adlon Correctiv;2
Ulrich Siegmund;Michaela Schneider;Gasthof Adlon Correctiv;2
Ulrich Siegmund;Simone Baum;Gasthof Adlon Correctiv;2
Ulrich Siegmund;Mathilda Huss;Gasthof Adlon Correctiv;2
Ulrich Siegmund;Wilhelm Wilderink;Gasthof Adlon Correctiv;2
Ulrich Siegmund;Mario Müller;Gasthof Adlon Correctiv;2
Ulrich Siegmund;Martin Sellner;Gasthof Adlon Correctiv;2
Ulrich Siegmund;Astrid Mörig;Gasthof Adlon Correctiv;2
Ulrich Siegmund;Arne Friedrich Mörig;Gasthof Adlon Correctiv;2
Ulrich Siegmund;Gernot Mörig;Gasthof Adlon Correctiv;2
Ulrich Siegmund;Tim Krause;Gasthof Adlon Correctiv;2
Tim Krause;Ulrich Vosgerau;Gasthof Adlon Correctiv;2
Tim Krause;Michaela Schneider;Gasthof Adlon Correctiv;2
Tim Krause;Simone Baum;Gasthof Adlon Correctiv;2
Tim Krause;Mathilda Huss;Gasthof Adlon Correctiv;2
Tim Krause;Wilhelm Wilderink;Gasthof Adlon Correctiv;2
Tim Krause;Mario Müller;Gasthof Adlon Correctiv;2
Tim Krause;Martin Sellner;Gasthof Adlon Correctiv;2
Tim Krause;Astrid Mörig;Gasthof Adlon Correctiv;2
Tim Krause;Arne Friedrich Mörig;Gasthof Adlon Correctiv;2
Tim Krause;Gernot Mörig;Gasthof Adlon Correctiv;2
Mario Müller;Ulrich Vosgerau;Gasthof Adlon Correctiv;2
Mario Müller;Michaela Schneider;Gasthof Adlon Correctiv;2
Mario Müller;Simone Baum;Gasthof Adlon Correctiv;2
Mario Müller;Mathilda Huss;Gasthof Adlon Correctiv;2
Mario Müller;Wilhelm Wilderink;Gasthof Adlon Correctiv;2
Michaela Schneider;Ulrich Vosgerau;Gasthof Adlon Correctiv;2
Oliver Kirchner;Jürgen Elsässer;Compact-Konferenz Frieden mit Russland;2
Oliver Kirchner;Martin Sellner;Compact-Konferenz Frieden mit Russland;1
Oliver Kirchner;Peter Feist;Compact-Konferenz Frieden mit Russland;2
Peter Feist;Jürgen Elsässer;Compact-Konferenz Frieden mit Russland;3
Peter Feist;Martin Sellner;Compact-Konferenz Frieden mit Russland;3
Jürgen Elsässer;Martin Sellner;Compact-Konferenz Frieden mit Russland;3
Nikolaus Kramer;Martin Sellner;"""Podcast """"Kramers klare Kante""""""";2
Hans-Christoph Berndt;Tim Krause;AfD Brandenburg;3
Sarah Wagenknecht;Volker Pispers;Pispers Wagenknecht Abendessen;1
Michael Seibold;Christiane Schmauder;Zentrum Automobil Demo am 16 Mai 2023;1
Michael Seibold;Timm Kaufmann;Filmkunstkollektiv (rechte Propaganda Firma);3
